0,description,topic,tech
MDAnalysis,Analysis of molecular simulations data with Python,"['science', 'computational-chemistry', 'high-performance-computing', 'molecular-simulation', 'soft-matter-physics']","['python', 'cython', 'c/c++']"
The Tor Project,Defend yourself against tracking and surveillance.,"['security', 'privacy', 'anti-censorship', 'Human Rights', 'Surveillance']","['c', 'python', 'rust']"
Submitty,Homework Autograding and Course Management Tools,"['education', 'visualization', 'web', 'privacy/security', 'communication']","['python', 'postgresql', 'javascript', 'c++', 'php']"
Rizin,Rizin reverse engineering framework and toolset,"['reverse engineering', 'computer security', 'debugging', 'emulation', 'disassembly']","['c', 'python', 'c++', 'qt']"
OpenStreetMap,Create and distribute free geodata for the world,"['databases', 'routing', 'gis', 'ui', 'geocoding']","['python', 'javascript', 'java', 'c++', 'sql']"
OWASP Foundation,No more insecure software.,"['web', 'cloud', 'application security', 'cybersecurity', 'DevSecOps']","['python', 'javascript', 'java', 'ZAP', 'Juice Shop']"
FreeType,FreeType is a software library to render fonts.,"['library', 'rendering', 'fonts', 'opentype', 'truetype']","['c', 'autotools', 'meson']"
MoveIt,Moving robots into the future,"['robotics', 'motion planning', 'trajectory generation', 'kinematics']","['ros', 'c++']"
Open Bioinformatics Foundation (OBF),Open Source & Open Science in biological research,"['open science', 'genomics', 'bioinformatics', 'workflows', 'Open Source Bioinformatics']","['python', 'javascript', 'c++', 'html/css', 'Git/GitHub']"
Processing Foundation,To empower all people to learn to program,"['education', 'web', 'graphics', 'creative coding', 'design']","['python', 'javascript', 'android', 'java', 'opengl']"
Dart,Dart is a client language for apps on any platform,"['programming languages', 'mobile apps']","['flutter', 'dart']"
Audacity,"Free, open source, cross-platform audio software","['audio', 'editing', 'compression', 'Sound', 'Effects']","['c++', 'qt', 'cmake', 'wxwidgets', 'VST']"
CCExtractor Development,"TV, rust, flutter, linux and C.","['video', 'subtitles', 'mobile', 'peer to peer']","['c', 'linux', 'rust', 'flutter']"
Jitsi,State-of-the-art video conferencing,"['video conferencing', 'WebRTC']","['javascript', 'java', 'react', 'webrtc', 'react native']"
omegaUp,Open CS Education as a catalyst for social change,"['education', 'web', 'cloud', 'edtech', 'UX/UI']","['python', 'mysql', 'php', 'typescript', 'vue.js']"
Wagtail,The powerful Python CMS for modern websites,"['web', 'accessibility', 'cms']","['python', 'javascript', 'django']"
The JPF team,JPF is a special JVM for software verification,"['model checking', 'symbolic execution', 'verification of concurrent systems', 'program analysis', 'test input generation']","['android', 'java', 'distributed systems', 'jvm']"
MuseScore,The World’s Most Popular Music Notation Software,"['music', 'midi', 'musicxml', 'sheet music', 'music notation']","['c++', 'qt', 'qml', 'cmake']"
